ten_mainboard,hang,thong_so,gia_vnd,link_hinh_anh,category
"Mainboard Asus TUF Gaming B760M-BTF WIFI D4 90MB1E50-M0EAY0 | Intel B760, Socket 1700, micro ATX, 4 khe DDR4",ASUS,"Mainboard Asus TUF Gaming B760M-BTF WIFI D4 90MB1E50-M0EAY0 | Intel B760, Socket 1700, micro ATX, 4 khe DDR4",5888000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B760M-E D4 DDR4 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B760M-E D4 DDR4 | LGA 1700, mATX, 4 khe RAM",2999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B760M-PLUS II DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B760M-PLUS II DDR5 | LGA 1700, mATX, 4 khe RAM",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B760M-PLUS II Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B760M-PLUS II Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",3999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B760M-PLUS Wifi DDR4 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B760M-PLUS Wifi DDR4 | LGA 1700, mATX, 4 khe RAM",3450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B850M-PLUS DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B850M-PLUS DDR5 | AM5, mATX, 4 khe RAM",5690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF GAMING B850M-PLUS II DDR5 | AM5, Micro-ATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF GAMING B850M-PLUS II DDR5 | AM5, Micro-ATX, 4 khe RAM",5690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming Z790-PLUS Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming Z790-PLUS Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",6911000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Z790 AYW W II Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",ASUS,"Mainboard ASUS Z790 AYW W II Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",5090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard Biostar A68U3P HiFi | FM2 + / FM2, mATX, 2 khe RAM",BIOSTAR,"Mainboard Biostar A68U3P HiFi | FM2 + / FM2, mATX, 2 khe RAM",1050000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard Biostar B760MX2-E DDR5 | LGA 1700, mATX, 2 khe RAM",BIOSTAR,"Mainboard Biostar B760MX2-E DDR5 | LGA 1700, mATX, 2 khe RAM",2199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
