ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU Intel Core i5 11400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 11400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.4 GHz",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray - Nobox | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray - Nobox | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray VAT | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray VAT | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray | LGA1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray | LGA1700, 6 nhân/12 luồng, Max 4.4 GHz",3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12500 | LGA1700, 6 nhân/12 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 12500 | LGA1700, 6 nhân/12 luồng, Max 4.6 GHz",5590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core I5 12600K | LGA1700, Turbo 4.90 GHz, 10C/16T, 20MB, Box Chính Hãng",Intel,"CPU Intel Core I5 12600K | LGA1700, Turbo 4.90 GHz, 10C/16T, 20MB, Box Chính Hãng",5790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 13400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.4 GHz",6590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",6690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",4090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",Intel,"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",6190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",Intel,"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",6350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i5-12400 Tray Chính Hãng (No Box),Intel,CPU Intel Core i5-12400 Tray Chính Hãng (No Box),4890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i5-14600K Tray Chính Hãng (No Box),Intel,CPU Intel Core i5-14600K Tray Chính Hãng (No Box),6290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",Intel,"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",6539000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",7790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
