ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
Thùng máy Case VSP Gaming X90 - Đen | Premium Led Light ARGB,VSP,Thùng máy Case VSP Gaming X90 - Đen | Premium Led Light ARGB,1279000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case VSP X8 - Trắng | Hồ cá, không kèm fan",VSP,"Thùng máy Case VSP X8 - Trắng | Hồ cá, không kèm fan",519000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Xigmatek AquaM Nano II - Đen | Không kèm fan,Xigmatek,Thùng máy Case Xigmatek AquaM Nano II - Đen | Không kèm fan,449000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Xigmatek AquaM Nano II - Trắng | Không kèm fan,Xigmatek,Thùng máy Case Xigmatek AquaM Nano II - Trắng | Không kèm fan,489000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Xigmatek Osiris Pro 4FX E-ATX | Kèm 4 fan ARGB,Xigmatek,Thùng máy Case Xigmatek Osiris Pro 4FX E-ATX | Kèm 4 fan ARGB,1179000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy case Xigmatek XS-09 M-ATX,Xigmatek,Thùng máy case Xigmatek XS-09 M-ATX,239000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Centaur Lumix - Trắng | Khung ghép vô cực, Micro ATX, sẵn 3 fan RGB",Unknown,"Thùng máy Centaur Lumix - Trắng | Khung ghép vô cực, Micro ATX, sẵn 3 fan RGB",509000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Centaur NOVA | Trắng, Không Fan",Unknown,"Thùng máy Centaur NOVA | Trắng, Không Fan",899000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cooler Master Cosmos Alpha - Đen,Unknown,Thùng máy Cooler Master Cosmos Alpha - Đen,8950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cooler Master Elite 301 - Đen | Kèm 3 fan led (E301-KGNN-S00),Unknown,Thùng máy Cooler Master Elite 301 - Đen | Kèm 3 fan led (E301-KGNN-S00),1149000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cooler Master Elite 301 Lite - Đen | Sẵn 1 fan đen,Unknown,Thùng máy Cooler Master Elite 301 Lite - Đen | Sẵn 1 fan đen,699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cooler Master Elite 301 Lite - Trắng | Sẵn 1 fan,Unknown,Thùng máy Cooler Master Elite 301 Lite - Trắng | Sẵn 1 fan,749000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Cooler Master MasterBox 600 Lite ATX - Đen | Back Connect Design,Cooler Master,Thùng máy Cooler Master MasterBox 600 Lite ATX - Đen | Back Connect Design,1299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Cooler Master MasterFrame 360 Stage LCD (MF360-KHNN-S02) | Mid Tower, ATX, Kính cường lực",Unknown,"Thùng máy Cooler Master MasterFrame 360 Stage LCD (MF360-KHNN-S02) | Mid Tower, ATX, Kính cường lực",5899000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Cooler Master Qube 500 Flatpack Black Edition | Mid Tower, E-ATX",Unknown,"Thùng máy Cooler Master Qube 500 Flatpack Black Edition | Mid Tower, E-ATX",1999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Cooler Master Qube 500 Flatpack Macaron Edition | Mid Tower, E-ATX",Unknown,"Thùng máy Cooler Master Qube 500 Flatpack Macaron Edition | Mid Tower, E-ATX",2199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Cooler Master Qube 500 Flatpack White Edition | Mid Tower, E-ATX",Unknown,"Thùng máy Cooler Master Qube 500 Flatpack White Edition | Mid Tower, E-ATX",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Corsair 3500X | Black, Mid Tower (CC-9011276-WW)",Corsair,"Thùng máy Corsair 3500X | Black, Mid Tower (CC-9011276-WW)",1849000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
